tconst,titleType,primaryTitle,originalTitle,startYear,genres,averageRating,numVotes,relevancia
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,1994,Drama,9.3,2774751,25805184.3
tt0468569,movie,The Dark Knight,The Dark Knight,2008,"Action,Crime,Drama",9.0,2750724,24756516.0
tt1375666,movie,Inception,Inception,2010,"Action,Adventure,Sci-Fi",8.8,2441512,21485305.6
tt0137523,movie,Fight Club,Fight Club,1999,Drama,8.8,2210376,19451308.8
tt0109830,movie,Forrest Gump,Forrest Gump,1994,"Drama,Romance",8.8,2157949,18989951.200000003
tt0110912,movie,Pulp Fiction,Pulp Fiction,1994,"Crime,Drama",8.9,2129380,18951482.0
tt0068646,movie,The Godfather,The Godfather,1972,"Crime,Drama",9.2,1931618,17770885.599999998
tt0133093,movie,The Matrix,The Matrix,1999,"Action,Sci-Fi",8.7,1975041,17182856.7
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama",9.0,1902808,17125272.0
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",8.8,1931074,16993451.200000003
tt0816692,movie,Interstellar,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.7,1951436,16977493.2
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama",8.8,1717084,15110339.200000001
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,2012,"Action,Drama,Thriller",8.4,1759585,14780514.0
tt0114369,movie,Se7en,Se7en,1995,"Crime,Drama,Mystery",8.6,1716367,14760756.2
tt1853728,movie,Django Unchained,Django Unchained,2012,"Drama,Western",8.4,1618068,13591771.200000001
tt0172495,movie,Gladiator,Gladiator,2000,"Action,Adventure,Drama",8.5,1549329,13169296.5
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,1991,"Crime,Drama,Thriller",8.6,1480650,12733590.0
tt0108052,movie,Schindler's List,Schindler's List,1993,"Biography,Drama,History",9.0,1396809,12571281.0
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,2009,"Adventure,Drama,War",8.3,1508735,12522500.500000002
tt0372784,movie,Batman Begins,Batman Begins,2005,"Action,Crime,Drama",8.2,1519441,12459416.2
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,1998,"Drama,War",8.6,1437213,12360031.799999999
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,2013,"Biography,Comedy,Crime",8.2,1484957,12176647.399999999
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,1977,"Action,Adventure,Fantasy",8.6,1404515,12078829.0
tt0071562,movie,The Godfather Part II,The Godfather Part II,1974,"Crime,Drama",9.0,1313499,11821491.0
tt0482571,movie,The Prestige,The Prestige,2006,"Drama,Mystery,Sci-Fi",8.5,1380256,11732176.0
tt0407887,movie,The Departed,The Departed,2006,"Crime,Drama,Thriller",8.5,1368758,11634443.0
tt0120689,movie,The Green Mile,The Green Mile,1999,"Crime,Drama,Fantasy",8.6,1348766,11599387.6
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,1332410,11591966.999999998
tt7286456,movie,Joker,Joker,2019,"Crime,Drama,Thriller",8.4,1378453,11579005.200000001
tt0848228,movie,The Avengers,The Avengers,2012,"Action,Sci-Fi",8.0,1425225,11401800.0
tt1130884,movie,Shutter Island,Shutter Island,2010,"Mystery,Thriller",8.2,1379017,11307939.399999999
tt0209144,movie,Memento,Memento,2000,"Mystery,Thriller",8.4,1275487,10714090.8
tt0499549,movie,Avatar,Avatar,2009,"Action,Adventure,Fantasy",7.9,1355046,10704863.4
tt0088763,movie,Back to the Future,Back to the Future,1985,"Adventure,Comedy,Sci-Fi",8.5,1252436,10645706.0
tt0099685,movie,Goodfellas,GoodFellas,1990,"Biography,Crime,Drama",8.7,1203938,10474260.6
tt0110413,movie,Léon: The Professional,Léon,1994,"Action,Crime,Drama",8.5,1199907,10199209.5
tt4154796,movie,Avengers: Endgame,Avengers: Endgame,2019,"Action,Adventure,Drama",8.4,1199101,10072448.4
tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8.0,1232417,9859336.0
tt0169547,movie,American Beauty,American Beauty,1999,Drama,8.3,1179922,9793352.600000001
tt0120586,movie,American History X,American History X,1998,"Crime,Drama",8.5,1151040,9783840.0
tt0120338,movie,Titanic,Titanic,1997,"Drama,Romance",7.9,1237336,9774954.4
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,"Action,Sci-Fi",8.6,1133297,9746354.2
tt0910970,movie,WALL·E,WALL·E,2008,"Adventure,Animation,Family",8.4,1154606,9698690.4
tt4154756,movie,Avengers: Infinity War,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi",8.4,1141083,9585097.200000001
tt0114814,movie,The Usual Suspects,The Usual Suspects,1995,"Crime,Drama,Mystery",8.5,1111909,9451226.5
tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",8.1,1164590,9433179.0
tt0266697,movie,Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",8.2,1149801,9428368.2
tt0434409,movie,V for Vendetta,V for Vendetta,2005,"Action,Drama,Sci-Fi",8.2,1147589,9410229.799999999
tt0110357,movie,The Lion King,The Lion King,1994,"Adventure,Animation,Drama",8.5,1096322,9318737.0
tt0120382,movie,The Truman Show,The Truman Show,1998,"Comedy,Drama",8.2,1131796,9280727.2
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,Drama,8.7,1036454,9017149.799999999
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy",8.3,1086176,9015260.8
tt1049413,movie,Up,Up,2009,"Adventure,Animation,Comedy",8.3,1080964,8972001.200000001
tt0081505,movie,The Shining,The Shining,1980,"Drama,Horror",8.4,1059641,8900984.4
tt0266543,movie,Finding Nemo,Finding Nemo,2003,"Adventure,Animation,Comedy",8.2,1075781,8821404.2
tt0112573,movie,Braveheart,Braveheart,1995,"Biography,Drama,History",8.3,1062239,8816583.700000001
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,1992,"Crime,Thriller",8.3,1051482,8727300.600000001
tt1431045,movie,Deadpool,Deadpool,2016,"Action,Comedy",8.0,1078816,8630528.0
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,"Drama,Romance,Sci-Fi",8.3,1039187,8625252.100000001
tt0371746,movie,Iron Man,Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,1090941,8618433.9
tt0114709,movie,Toy Story,Toy Story,1995,"Adventure,Animation,Comedy",8.3,1028716,8538342.8
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,1981,"Action,Adventure",8.4,1005984,8450265.6
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",8.1,1039614,8420873.4
tt0119217,movie,Good Will Hunting,Good Will Hunting,1997,"Drama,Romance",8.3,1013794,8414490.200000001
tt0107290,movie,Jurassic Park,Jurassic Park,1993,"Action,Adventure,Sci-Fi",8.2,1025283,8407320.6
tt0264464,movie,Catch Me If You Can,Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,1035587,8388254.699999999
tt0167404,movie,The Sixth Sense,The Sixth Sense,1999,"Drama,Mystery,Thriller",8.2,1017953,8347214.6
tt0477348,movie,No Country for Old Men,No Country for Old Men,2007,"Crime,Drama,Thriller",8.2,1012601,8303328.199999999
tt2267998,movie,Gone Girl,Gone Girl,2014,"Drama,Mystery,Thriller",8.1,1018956,8253543.6
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,2001,"Biography,Drama",8.2,956839,7846079.799999999
tt2582802,movie,Whiplash,Whiplash,2014,"Drama,Music",8.5,919250,7813625.0
tt0078748,movie,Alien,Alien,1979,"Horror,Sci-Fi",8.5,911564,7748294.0
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",2001,"Adventure,Animation,Comedy",8.1,941417,7625477.699999999
tt1675434,movie,The Intouchables,Intouchables,2011,"Biography,Comedy,Drama",8.5,889911,7564243.5
tt0095016,movie,Die Hard,Die Hard,1988,"Action,Thriller",8.2,907476,7441303.199999999
tt2488496,movie,Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015,"Action,Adventure,Sci-Fi",7.8,952305,7427979.0
tt6751668,movie,Parasite,Gisaengchung,2019,"Drama,Thriller",8.5,872277,7414354.5
tt0050083,movie,12 Angry Men,12 Angry Men,1957,"Crime,Drama",9.0,823222,7408998.0
tt0253474,movie,The Pianist,The Pianist,2002,"Biography,Drama,Music",8.5,866723,7367145.5
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Family,Fantasy",8.1,909486,7366836.6
tt0086250,movie,Scarface,Scarface,1983,"Crime,Drama",8.3,875796,7269106.800000001
tt0088247,movie,The Terminator,The Terminator,1984,"Action,Sci-Fi",8.1,893567,7237892.699999999
tt0208092,movie,Snatch,Snatch,2000,"Comedy,Crime",8.2,880318,7218607.6
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,2000,Drama,8.3,868341,7207230.300000001
tt0075314,movie,Taxi Driver,Taxi Driver,1976,"Crime,Drama",8.2,875185,7176516.999999999
tt0435761,movie,Toy Story 3,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,863143,7164086.9
tt3659388,movie,The Martian,The Martian,2015,"Adventure,Drama,Sci-Fi",8.0,887086,7096688.0
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,1971,"Crime,Sci-Fi",8.3,854094,7088980.2
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966,"Adventure,Western",8.8,783703,6896586.4
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,2008,"Crime,Drama,Romance",8.0,861908,6895264.0
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,2001,"Adventure,Animation,Family",8.6,800589,6885065.399999999
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,"Adventure,Comedy,Crime",8.1,849377,6879953.699999999
tt1392170,movie,The Hunger Games,The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,955319,6878296.8
tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.8,873651,6814477.8
tt0118715,movie,The Big Lebowski,The Big Lebowski,1998,"Comedy,Crime",8.1,832988,6747202.8
tt10872600,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,2021,"Action,Adventure,Fantasy",8.2,817460,6703171.999999999
tt1663202,movie,The Revenant,The Revenant,2015,"Action,Adventure,Drama",8.0,835775,6686200.0
tt0317248,movie,City of God,Cidade de Deus,2002,"Crime,Drama",8.6,776538,6678226.8
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",7.8,848542,6618627.6
tt0246578,movie,Donnie Darko,Donnie Darko,2001,"Drama,Mystery,Sci-Fi",8.0,824922,6599376.0
